id,shipment,number_customer_calls,customer_rating,product_cost,number_prior_purchases,product_importance,gender,discount,weight,weekday_of_purchase,week_of_purchase,on_Time
1,Ship,3,2,234,3,medium,M,39,2099,2,1,0
2,Ship,3,4,122,3,high,F,15,1354,2,1,0
3,Ship,3,3,135,3,low,M,8,1074,2,1,0
4,Ship,3,5,103,3,low,M,3,1403,2,1,0
5,Ship,3,5,257,3,medium,F,19,2173,2,1,0
6,Ship,4,3,169,2,low,M,2,1399,2,1,0
7,Ship,4,5,159,3,medium,M,18,1808,2,1,0
8,Ship,4,5,188,3,low,M,38,3031,2,1,0
9,Ship,5,1,136,3,medium,M,19,1420,2,1,0
10,Ship,5,1,227,3,low,F,19,3007,2,1,0
11,Ship,3,5,262,2,low,F,53,3275,2,1,0
12,Ship,2,3,157,2,low,M,45,1965,2,1,0
13,Ship,5,3,238,2,medium,F,21,2053,2,1,0
14,Ship,3,5,152,3,low,M,43,1282,2,1,0
15,Ship,3,2,201,3,medium,M,5,2040,2,1,0
16,Ship,3,4,148,2,low,M,54,1778,2,1,0
17,Ship,5,2,199,4,low,F,59,2885,2,1,0
18,Ship,5,4,215,2,low,F,45,3501,2,1,0
19,Ship,4,5,175,2,low,M,40,1270,2,1,0
20,Road,4,3,236,2,high,M,23,3123,2,1,0
21,Road,2,5,182,2,medium,F,57,2896,2,1,0
22,Road,3,1,251,3,medium,M,42,3698,2,1,0
23,Road,5,2,173,3,low,F,7,1855,2,1,0
24,Road,4,3,225,3,low,F,62,2587,2,1,0
25,Road,4,2,167,4,low,F,20,1705,2,1,0
26,Road,4,1,259,3,low,M,20,2154,2,1,0
27,Road,4,1,178,3,medium,F,63,1573,2,1,0
28,Road,4,4,178,4,medium,F,13,1614,2,1,0
29,Road,5,4,169,2,low,F,20,1765,2,1,0
30,Road,3,2,272,2,low,M,33,2321,2,1,0
31,Road,4,4,183,3,low,M,29,3251,2,1,0
32,Road,3,4,205,3,low,F,10,2728,2,1,0
33,Road,2,1,123,4,low,F,53,1036,2,1,0
34,Road,4,3,152,3,low,M,58,1453,2,1,0
35,Road,3,1,220,2,high,F,40,3773,2,1,0
36,Road,4,3,134,3,low,M,51,1965,2,1,0
37,Road,3,2,217,2,high,M,19,2992,2,1,0
38,Road,3,2,265,3,low,F,49,2791,2,1,0
39,Road,4,2,249,5,medium,M,36,3836,2,1,0
40,Road,5,3,213,4,medium,F,50,2003,2,1,0
41,Road,2,2,124,3,low,F,56,1494,2,1,0
42,Flight,4,1,180,2,low,M,23,1193,2,1,0
43,Flight,4,5,193,3,medium,M,65,2267,2,1,0
44,Flight,3,2,192,3,medium,M,43,3339,2,1,0
45,Flight,2,5,166,3,medium,M,3,1832,2,1,0
46,Flight,3,2,264,3,medium,M,5,3861,2,1,0
47,Flight,3,4,200,2,medium,M,14,3528,2,1,0
48,Flight,4,3,142,4,medium,M,12,1396,2,1,0
49,Flight,4,1,215,2,low,M,32,3066,2,1,0
50,Flight,2,1,218,2,low,M,15,2745,2,1,0
51,Flight,3,2,115,3,low,F,27,1814,2,1,0
52,Flight,4,3,159,3,low,M,33,1330,2,1,0
53,Flight,5,5,133,3,low,M,63,1218,2,1,0
54,Flight,5,2,178,3,low,M,48,1517,2,1,0
55,Flight,4,2,134,2,low,F,43,1714,2,1,0
56,Flight,3,1,184,5,medium,F,58,2544,2,1,0
57,Flight,4,2,251,2,medium,M,24,2405,2,1,0
58,Flight,3,2,141,3,low,M,7,1933,2,1,0
59,Flight,4,4,229,2,medium,M,45,3776,2,1,0
60,Flight,4,1,203,4,low,M,34,3813,2,1,0
61,Flight,4,3,158,3,medium,F,57,1911,2,1,0
62,Flight,3,4,167,3,medium,M,52,1755,2,1,0
63,Flight,5,4,197,4,low,F,40,3303,2,1,0
64,Ship,2,2,140,3,low,F,19,1806,2,1,0
65,Ship,5,1,205,2,medium,M,27,3569,2,1,0
66,Ship,5,5,208,3,low,F,45,2018,2,1,0
67,Ship,4,2,96,3,low,M,22,1294,2,1,0
68,Ship,6,4,205,3,low,F,44,2064,2,1,0
69,Ship,4,2,215,3,medium,F,48,2953,2,1,0
70,Ship,4,1,216,3,low,F,43,2643,3,1,0
71,Ship,3,1,112,2,high,M,22,1846,3,1,0
72,Ship,5,4,222,3,low,F,20,3632,3,1,0
73,Ship,5,2,186,3,medium,F,15,2153,3,1,0
74,Ship,3,5,241,3,medium,M,48,2841,3,1,0
75,Ship,3,3,172,3,low,F,58,1269,3,1,0
76,Ship,3,5,251,2,high,M,23,2426,3,1,0
77,Ship,5,3,190,3,high,M,45,2628,3,1,0
78,Ship,4,3,186,2,medium,F,48,2805,3,1,0
79,Ship,4,4,207,2,medium,M,35,2596,3,1,0
80,Ship,3,3,135,3,low,F,19,1366,3,1,0
81,Ship,4,4,189,2,medium,F,18,2955,3,1,0
82,Ship,4,4,173,5,medium,F,51,1691,3,1,0
83,Ship,3,4,194,3,medium,M,3,2169,3,1,0
84,Ship,3,1,183,3,low,M,19,3018,3,1,0
85,Ship,4,3,140,2,low,F,22,1248,3,1,0
86,Ship,4,4,244,3,medium,F,55,2782,3,1,0
87,Ship,2,3,189,4,low,M,34,3355,3,1,0
88,Ship,3,2,157,2,medium,M,53,1390,3,1,0
89,Ship,4,1,275,10,medium,F,23,2726,3,1,0
90,Ship,4,5,133,3,low,F,53,1467,3,1,0
91,Ship,4,1,149,3,medium,M,54,1178,3,1,0
92,Ship,3,3,254,2,high,M,17,3153,3,1,0
93,Ship,3,4,145,8,low,F,15,1429,3,1,0
94,Ship,3,2,179,5,low,F,52,1991,3,1,0
95,Ship,5,2,168,3,low,M,26,1526,3,1,0
96,Ship,4,1,202,3,medium,F,18,3940,3,1,0
97,Ship,3,4,220,7,low,M,43,2620,3,1,0
98,Ship,3,4,244,8,low,M,1,2703,3,1,0
99,Ship,4,2,186,7,medium,F,40,3111,3,1,0
100,Ship,5,2,263,8,medium,M,24,3139,3,1,0
101,Ship,3,2,294,4,low,F,15,1318,3,1,0
102,Ship,3,5,226,2,medium,F,2,1043,3,1,0
103,Ship,4,4,173,5,medium,F,2,1175,3,1,0
104,Ship,3,5,194,3,medium,F,10,2277,3,1,0
105,Ship,3,5,183,3,low,F,2,3459,3,1,0
106,Ship,4,1,140,2,low,M,61,1770,3,1,0
107,Ship,4,3,244,3,medium,M,8,3318,3,1,0
108,Ship,2,2,189,4,low,M,9,3413,3,1,0
109,Ship,3,1,157,2,medium,F,39,1525,3,1,0
110,Ship,4,3,275,10,medium,M,10,2093,3,1,0
111,Ship,4,5,133,3,low,M,59,1092,3,1,0
